    date,month,branch,district,demand,lat,long,month_period
01-01-2021,1,D10,20,953,53.350928,-6.368541,2021-01
01-01-2021,1,D10,8,301,53.34197,-6.317348,2021-01
01-01-2021,1,D10,22,816,53.317868,-6.397531,2021-01
01-01-2021,1,D10,12,299,53.321125,-6.317319,2021-01
01-01-2021,1,D10,6w,79,53.308329,-6.301888,2021-01
01-01-2021,1,D10,6,70,53.321452,-6.264349,2021-01
01-01-2021,1,D10,4,40,53.328197,-6.22809,2021-01
01-01-2021,1,D10,24,473,53.285009,-6.37192,2021-01
01-01-2021,1,D10,16,115,53.281712,-6.284927,2021-01
01-01-2021,1,D10,18,42,53.263568,-6.153265,2021-01
01-02-2021,2,D10,20,880,53.350928,-6.368541,2021-02
01-02-2021,2,D10,8,249,53.34197,-6.317348,2021-02
01-02-2021,2,D10,22,730,53.317868,-6.397531,2021-02
01-02-2021,2,D10,12,279,53.321125,-6.317319,2021-02
01-02-2021,2,D10,6w,78,53.308329,-6.301888,2021-02
01-02-2021,2,D10,6,62,53.321452,-6.264349,2021-02
01-02-2021,2,D10,4,37,53.328197,-6.22809,2021-02
01-02-2021,2,D10,24,475,53.285009,-6.37192,2021-02
01-02-2021,2,D10,16,141,53.281712,-6.284927,2021-02
01-02-2021,2,D10,18,23,53.263568,-6.153265,2021-02
01-03-2021,3,D10,20,1293,53.350928,-6.368541,2021-03
01-03-2021,3,D10,8,372,53.34197,-6.317348,2021-03
01-03-2021,3,D10,22,1013,53.317868,-6.397531,2021-03
01-03-2021,3,D10,12,399,53.321125,-6.317319,2021-03
01-03-2021,3,D10,6w,89,53.308329,-6.301888,2021-03
01-03-2021,3,D10,6,104,53.321452,-6.264349,2021-03
01-03-2021,3,D10,4,40,53.328197,-6.22809,2021-03
01-03-2021,3,D10,24,594,53.285009,-6.37192,2021-03
01-03-2021,3,D10,16,157,53.281712,-6.284927,2021-03
01-03-2021,3,D10,18,40,53.263568,-6.153265,2021-03
01-04-2021,4,D10,20,1205,53.350928,-6.368541,2021-04
01-04-2021,4,D10,8,343,53.34197,-6.317348,2021-04
01-04-2021,4,D10,22,988,53.317868,-6.397531,2021-04
01-04-2021,4,D10,12,366,53.321125,-6.317319,2021-04
01-04-2021,4,D10,6w,81,53.308329,-6.301888,2021-04
01-04-2021,4,D10,6,104,53.321452,-6.264349,2021-04
01-04-2021,4,D10,4,35,53.328197,-6.22809,2021-04
01-04-2021,4,D10,24,559,53.285009,-6.37192,2021-04
01-04-2021,4,D10,16,156,53.281712,-6.284927,2021-04
01-04-2021,4,D10,18,29,53.263568,-6.153265,2021-04
01-05-2021,5,D10,20,1321,53.350928,-6.368541,2021-05
01-05-2021,5,D10,8,393,53.34197,-6.317348,2021-05
01-05-2021,5,D10,22,1111,53.317868,-6.397531,2021-05
01-05-2021,5,D10,12,445,53.321125,-6.317319,2021-05
01-05-2021,5,D10,6w,124,53.308329,-6.301888,2021-05
01-05-2021,5,D10,6,124,53.321452,-6.264349,2021-05
01-05-2021,5,D10,4,59,53.328197,-6.22809,2021-05
01-05-2021,5,D10,24,677,53.285009,-6.37192,2021-05
01-05-2021,5,D10,16,158,53.281712,-6.284927,2021-05
01-05-2021,5,D10,18,47,53.263568,-6.153265,2021-05
01-06-2021,6,D10,20,1225,53.350928,-6.368541,2021-06
01-06-2021,6,D10,8,411,53.34197,-6.317348,2021-06
01-06-2021,6,D10,22,991,53.317868,-6.397531,2021-06
01-06-2021,6,D10,12,408,53.321125,-6.317319,2021-06
01-06-2021,6,D10,6w,106,53.308329,-6.301888,2021-06
01-06-2021,6,D10,6,90,53.321452,-6.264349,2021-06
01-06-2021,6,D10,4,40,53.328197,-6.22809,2021-06
01-06-2021,6,D10,24,573,53.285009,-6.37192,2021-06
01-06-2021,6,D10,16,181,53.281712,-6.284927,2021-06
01-06-2021,6,D10,18,33,53.263568,-6.153265,2021-06
01-07-2021,7,D10,20,1363,53.350928,-6.368541,2021-07
01-07-2021,7,D10,8,403,53.34197,-6.317348,2021-07
01-07-2021,7,D10,22,1090,53.317868,-6.397531,2021-07
01-07-2021,7,D10,12,457,53.321125,-6.317319,2021-07
01-07-2021,7,D10,6w,96,53.308329,-6.301888,2021-07
01-07-2021,7,D10,6,124,53.321452,-6.264349,2021-07
01-07-2021,7,D10,4,44,53.328197,-6.22809,2021-07
01-07-2021,7,D10,24,632,53.285009,-6.37192,2021-07
01-07-2021,7,D10,16,182,53.281712,-6.284927,2021-07
01-07-2021,7,D10,18,43,53.263568,-6.153265,2021-07
01-08-2021,8,D10,20,1263,53.350928,-6.368541,2021-08
01-08-2021,8,D10,8,373,53.34197,-6.317348,2021-08
01-08-2021,8,D10,22,1036,53.317868,-6.397531,2021-08
01-08-2021,8,D10,12,384,53.321125,-6.317319,2021-08
01-08-2021,8,D10,6w,91,53.308329,-6.301888,2021-08
01-08-2021,8,D10,6,99,53.321452,-6.264349,2021-08
01-08-2021,8,D10,4,37,53.328197,-6.22809,2021-08
01-08-2021,8,D10,24,605,53.285009,-6.37192,2021-08
01-08-2021,8,D10,16,173,53.281712,-6.284927,2021-08
01-08-2021,8,D10,18,38,53.263568,-6.153265,2021-08
01-09-2021,9,D10,20,1184,53.350928,-6.368541,2021-09
01-09-2021,9,D10,8,369,53.34197,-6.317348,2021-09
01-09-2021,9,D10,22,959,53.317868,-6.397531,2021-09
01-09-2021,9,D10,12,391,53.321125,-6.317319,2021-09
01-09-2021,9,D10,6w,101,53.308329,-6.301888,2021-09
01-09-2021,9,D10,6,78,53.321452,-6.264349,2021-09
01-09-2021,9,D10,4,48,53.328197,-6.22809,2021-09
01-09-2021,9,D10,24,617,53.285009,-6.37192,2021-09
01-09-2021,9,D10,16,157,53.281712,-6.284927,2021-09
01-09-2021,9,D10,18,45,53.263568,-6.153265,2021-09
01-10-2021,10,D10,20,1080,53.350928,-6.368541,2021-10
01-10-2021,10,D10,8,306,53.34197,-6.317348,2021-10
01-10-2021,10,D10,22,845,53.317868,-6.397531,2021-10
01-10-2021,10,D10,12,395,53.321125,-6.317319,2021-10
01-10-2021,10,D10,6w,95,53.308329,-6.301888,2021-10
01-10-2021,10,D10,6,87,53.321452,-6.264349,2021-10
01-10-2021,10,D10,4,39,53.328197,-6.22809,2021-10
01-10-2021,10,D10,24,523,53.285009,-6.37192,2021-10
01-10-2021,10,D10,16,143,53.281712,-6.284927,2021-10
01-10-2021,10,D10,18,41,53.263568,-6.153265,2021-10
01-11-2021,11,D10,20,1091,53.350928,-6.368541,2021-11
01-11-2021,11,D10,8,365,53.34197,-6.317348,2021-11
01-11-2021,11,D10,22,962,53.317868,-6.397531,2021-11
01-11-2021,11,D10,12,376,53.321125,-6.317319,2021-11
01-11-2021,11,D10,6w,108,53.308329,-6.301888,2021-11
01-11-2021,11,D10,6,89,53.321452,-6.264349,2021-11
01-11-2021,11,D10,4,32,53.328197,-6.22809,2021-11
01-11-2021,11,D10,24,546,53.285009,-6.37192,2021-11
01-11-2021,11,D10,16,169,53.281712,-6.284927,2021-11
01-11-2021,11,D10,18,42,53.263568,-6.153265,2021-11
01-12-2021,12,D10,20,1620,53.350928,-6.368541,2021-12
01-12-2021,12,D10,8,518,53.34197,-6.317348,2021-12
01-12-2021,12,D10,22,1379,53.317868,-6.397531,2021-12
01-12-2021,12,D10,12,520,53.321125,-6.317319,2021-12
01-12-2021,12,D10,6w,109,53.308329,-6.301888,2021-12
01-12-2021,12,D10,6,147,53.321452,-6.264349,2021-12
01-12-2021,12,D10,4,67,53.328197,-6.22809,2021-12
01-12-2021,12,D10,24,747,53.285009,-6.37192,2021-12
01-12-2021,12,D10,16,202,53.281712,-6.284927,2021-12
01-12-2021,12,D10,18,56,53.263568,-6.153265,2021-12
01-01-2022,1,D10,20,990,53.350928,-6.368541,2022-01
01-01-2022,1,D10,8,253,53.34197,-6.317348,2022-01
01-01-2022,1,D10,22,803,53.317868,-6.397531,2022-01
01-01-2022,1,D10,12,301,53.321125,-6.317319,2022-01
01-01-2022,1,D10,6w,67,53.308329,-6.301888,2022-01
01-01-2022,1,D10,6,64,53.321452,-6.264349,2022-01
01-01-2022,1,D10,4,42,53.328197,-6.22809,2022-01
01-01-2022,1,D10,24,468,53.285009,-6.37192,2022-01
01-01-2022,1,D10,16,113,53.281712,-6.284927,2022-01
01-01-2022,1,D10,18,23,53.263568,-6.153265,2022-01
01-02-2022,2,D10,20,1071,53.350928,-6.368541,2022-02
01-02-2022,2,D10,8,308,53.34197,-6.317348,2022-02
01-02-2022,2,D10,22,894,53.317868,-6.397531,2022-02
01-02-2022,2,D10,12,360,53.321125,-6.317319,2022-02
01-02-2022,2,D10,6w,93,53.308329,-6.301888,2022-02
01-02-2022,2,D10,6,95,53.321452,-6.264349,2022-02
01-02-2022,2,D10,4,39,53.328197,-6.22809,2022-02
01-02-2022,2,D10,24,532,53.285009,-6.37192,2022-02
01-02-2022,2,D10,16,141,53.281712,-6.284927,2022-02
01-02-2022,2,D10,18,48,53.263568,-6.153265,2022-02
01-03-2022,3,D10,20,1374,53.350928,-6.368541,2022-03
